hour,time,alive_percent,q_t,resilience
256,2025-01-11 15:00,100.0,1.0,0.814142
257,2025-01-11 16:00,100.0,1.0,0.814865
258,2025-01-11 17:00,100.0,0.999767,0.815582
259,2025-01-11 18:00,99.8457,0.974528,0.816196
260,2025-01-11 19:00,96.4506,0.964082,0.816764
261,2025-01-11 20:00,96.3735,0.961093,0.817317
262,2025-01-11 21:00,94.8302,0.948302,0.817817
263,2025-01-11 22:00,94.8302,0.895976,0.818114
264,2025-01-11 23:00,88.3488,0.878871,0.818345
265,2025-01-12 00:00,87.8086,0.876708,0.818565
266,2025-01-12 01:00,87.5772,0.86764,0.818749
267,2025-01-12 02:00,86.3426,0.853952,0.818881
268,2025-01-12 03:00,84.5679,0.841652,0.818966
269,2025-01-12 04:00,83.9506,0.818147,0.818963
270,2025-01-12 05:00,70.8333,0.706698,0.818547
271,2025-01-12 06:00,70.3704,0.702933,0.818121
272,2025-01-12 07:00,100.0,0.781764,0.817987
273,2025-01-12 08:00,100.0,0.932576,0.818407
274,2025-01-12 09:00,100.0,0.990756,0.819036
275,2025-01-12 10:00,100.0,0.997763,0.819686
276,2025-01-12 11:00,100.0,1.0,0.820339
277,2025-01-12 12:00,100.0,1.0,0.820988
278,2025-01-12 13:00,100.0,1.0,0.821632
279,2025-01-12 14:00,100.0,1.0,0.822271
280,2025-01-12 15:00,100.0,1.0,0.822906
281,2025-01-12 16:00,100.0,1.0,0.823536
282,2025-01-12 17:00,100.0,0.999449,0.82416
283,2025-01-12 18:00,99.537,0.984321,0.824726
284,2025-01-12 19:00,97.2222,0.966009,0.825223
285,2025-01-12 20:00,96.3735,0.935629,0.82561
286,2025-01-12 21:00,88.6574,0.885677,0.82582
287,2025-01-12 22:00,88.3488,0.883488,0.826021
288,2025-01-12 23:00,88.3488,0.880747,0.826211
289,2025-01-13 00:00,87.5,0.872907,0.826373
290,2025-01-13 01:00,86.9599,0.866022,0.82651
291,2025-01-13 02:00,86.1883,0.854269,0.826605
292,2025-01-13 03:00,84.4907,0.842911,0.826661
293,2025-01-13 04:00,83.9506,0.833955,0.826686
294,2025-01-13 05:00,83.1019,0.830652,0.826699
295,2025-01-13 06:00,83.0247,0.827278,0.826701
296,2025-01-13 07:00,100.0,0.832318,0.82672
297,2025-01-13 08:00,100.0,0.908811,0.826997
298,2025-01-13 09:00,100.0,0.982552,0.827519
299,2025-01-13 10:00,100.0,0.999685,0.828094
300,2025-01-13 11:00,100.0,1.0,0.828667
301,2025-01-13 12:00,100.0,1.0,0.829237
302,2025-01-13 13:00,100.0,1.0,0.829802
303,2025-01-13 14:00,100.0,1.0,0.830364
304,2025-01-13 15:00,100.0,1.0,0.830922
305,2025-01-13 16:00,100.0,1.0,0.831476
306,2025-01-13 17:00,100.0,0.999022,0.832024
