hour,time,alive_percent,q_t,resilience
467,2025-01-20 10:00,100.0,0.998186,0.805098
468,2025-01-20 11:00,100.0,1.0,0.805515
469,2025-01-20 12:00,100.0,1.0,0.80593
470,2025-01-20 13:00,100.0,1.0,0.806342
471,2025-01-20 14:00,100.0,1.0,0.806754
472,2025-01-20 15:00,100.0,0.998334,0.80716
473,2025-01-20 16:00,100.0,0.989597,0.807545
474,2025-01-20 17:00,98.2253,0.979634,0.807908
475,2025-01-20 18:00,97.608,0.968902,0.808247
476,2025-01-20 19:00,95.6019,0.944079,0.808533
477,2025-01-20 20:00,93.3642,0.926901,0.808781
478,2025-01-20 21:00,92.284,0.885272,0.808941
479,2025-01-20 22:00,86.4198,0.84988,0.809026
480,2025-01-20 23:00,84.1821,0.838278,0.809087
481,2025-01-21 00:00,83.4105,0.828245,0.809127
482,2025-01-21 01:00,81.9444,0.81317,0.809135
483,2025-01-21 02:00,80.4012,0.795022,0.809106
484,2025-01-21 03:00,78.7037,0.776809,0.809039
485,2025-01-21 04:00,76.7747,0.762516,0.808944
486,2025-01-21 05:00,76.0802,0.70914,0.808738
487,2025-01-21 06:00,62.3457,0.616188,0.808343
488,2025-01-21 07:00,100.0,0.640057,0.807998
489,2025-01-21 08:00,100.0,0.844859,0.808073
490,2025-01-21 09:00,100.0,0.94262,0.808348
491,2025-01-21 10:00,100.0,0.993023,0.808724
492,2025-01-21 11:00,100.0,0.999617,0.809112
493,2025-01-21 12:00,100.0,0.999949,0.809499
494,2025-01-21 13:00,100.0,1.0,0.809885
495,2025-01-21 14:00,100.0,0.999722,0.810268
496,2025-01-21 15:00,100.0,0.995291,0.810641
497,2025-01-21 16:00,100.0,0.987364,0.810997
498,2025-01-21 17:00,97.8395,0.960685,0.811297
499,2025-01-21 18:00,91.4352,0.908637,0.811492
500,2025-01-21 19:00,90.2778,0.882617,0.811635
501,2025-01-21 20:00,87.1142,0.866224,0.811744
502,2025-01-21 21:00,85.7253,0.844815,0.81181
503,2025-01-21 22:00,83.7963,0.831826,0.811849
504,2025-01-21 23:00,82.6389,0.820278,0.811866
505,2025-01-22 00:00,81.4815,0.808435,0.811859
506,2025-01-22 01:00,79.784,0.779529,0.811795
