id,row,col,alive_percent,resilience
161,4,17,97.6389,0.968814
162,4,18,41.3889,0.253747
163,4,19,99.0278,0.989417
164,4,20,99.0278,0.988769
165,4,21,99.0278,0.988769
166,4,22,46.25,0.359818
167,4,23,99.0278,0.990278
168,4,24,59.3056,0.492174
169,4,25,51.6667,0.399346
170,4,26,65.4167,0.584744
171,4,27,50.9722,0.398141
172,4,28,69.1667,0.619179
173,4,29,41.3889,0.227827
174,4,30,99.0278,0.987919
175,4,31,51.1111,0.394253
176,4,32,99.0278,0.98993
177,4,33,85.4167,0.794019
178,4,34,99.0278,0.989007
179,4,35,96.9444,0.963992
180,5,0,50.9722,0.398141
181,5,1,69.3056,0.627323
182,5,2,96.8056,0.95928
183,5,3,99.0278,0.98993
184,5,4,99.0278,0.989417
185,5,5,99.0278,0.987919
186,5,6,89.8611,0.879311
187,5,7,99.0278,0.988635
188,5,8,96.9444,0.963992
189,5,9,64.3056,0.567434
190,5,10,94.3056,0.93572
191,5,11,78.8889,0.728995
192,5,12,97.3611,0.963215
193,5,13,99.0278,0.987919
194,5,14,97.5,0.972855
195,5,15,99.0278,0.990278
196,5,16,99.0278,0.989417
197,5,17,99.0278,0.990278
198,5,18,98.4722,0.981246
199,5,19,82.0833,0.764232
200,5,20,49.5833,0.377381
201,5,21,99.0278,0.990278
202,5,22,93.75,0.912477
203,5,23,99.0278,0.990278
204,5,24,52.0833,0.406283
205,5,25,43.75,0.286203
206,5,26,43.8889,0.285089
207,5,27,98.6111,0.982053
208,5,28,94.3056,0.93572
209,5,29,53.3333,0.455518
210,5,30,77.5,0.706677
211,5,31,89.8611,0.879311
212,5,32,94.3056,0.93572
213,5,33,99.0278,0.987919
214,5,34,98.6111,0.982053
215,5,35,99.0278,0.987919
216,6,0,95.9722,0.949234
217,6,1,98.1944,0.974962
218,6,2,96.5278,0.948706
219,6,3,89.4444,0.864816
220,6,4,99.0278,0.98993
221,6,5,89.8611,0.879311
222,6,6,99.0278,0.990278
223,6,7,98.4722,0.982166
224,6,8,96.3889,0.949784
225,6,9,89.8611,0.879311
226,6,10,89.8611,0.879311
227,6,11,96.9444,0.963992
228,6,12,96.9444,0.962726
229,6,13,89.8611,0.879311
230,6,14,76.6667,0.684009
231,6,15,99.0278,0.990278
232,6,16,73.8889,0.710259
233,6,17,53.3333,0.455518
234,6,18,72.9167,0.696532
235,6,19,53.3333,0.455518
236,6,20,65.6944,0.582581
237,6,21,97.6389,0.968814
238,6,22,46.25,0.359818
239,6,23,99.0278,0.990278
240,6,24,41.3889,0.253747
241,6,25,79.3056,0.726532
242,6,26,64.1667,0.554988
243,6,27,43.75,0.32477
244,6,28,99.0278,0.988032
245,6,29,89.8611,0.879311
246,6,30,90.2778,0.86775
247,6,31,98.3333,0.980797
248,6,32,86.5278,0.833774
249,6,33,98.3333,0.980797
250,6,34,89.8611,0.879311
251,6,35,72.9167,0.672298
252,7,0,53.3333,0.455518
253,7,1,96.8056,0.948922
254,7,2,41.6667,0.29482
255,7,3,96.9444,0.962726
256,7,4,96.9444,0.962726
257,7,5,96.9444,0.962726
258,7,6,96.9444,0.962726
259,7,7,96.9444,0.962726
260,7,8,94.3056,0.93572
261,7,9,89.8611,0.879311
262,7,10,99.0278,0.988779
263,7,11,99.0278,0.98993
264,7,12,99.0278,0.98933
265,7,13,99.0278,0.98993
266,7,14,96.9444,0.962726
267,7,15,53.3333,0.455518
268,7,16,99.0278,0.990278
269,7,17,46.25,0.359818
270,7,18,96.9444,0.962726
271,7,19,99.0278,0.98933
272,7,20,44.4444,0.338252
273,7,21,53.75,0.437158
274,7,22,46.25,0.359818
275,7,23,98.8889,0.984618
276,7,24,43.4722,0.292095
277,7,25,42.6389,0.287132
278,7,26,62.0833,0.532335
279,7,27,90.6944,0.878713
280,7,28,41.3889,0.23163
281,7,29,50.9722,0.398141
282,7,30,98.3333,0.980724
283,7,31,99.0278,0.989007
284,7,32,85.4167,0.794019
285,7,33,98.0556,0.977523
286,7,34,99.0278,0.989588
287,7,35,98.3333,0.980724
288,8,0,98.0556,0.977523
289,8,1,89.8611,0.879311
290,8,2,98.0556,0.977523
291,8,3,98.3333,0.980724
292,8,4,99.0278,0.98993
293,8,5,96.9444,0.962726
294,8,6,99.0278,0.989533
295,8,7,99.0278,0.98993
296,8,8,99.0278,0.98993
297,8,9,99.0278,0.98933
298,8,10,96.9444,0.962726
299,8,11,99.0278,0.98933
300,8,12,96.9444,0.962726
301,8,13,41.3889,0.227827
302,8,14,42.7778,0.287186
303,8,15,41.3889,0.22713
304,8,16,99.0278,0.98933
305,8,17,97.5,0.969213
306,8,18,97.5,0.969213
307,8,19,97.6389,0.96635
308,8,20,99.0278,0.986167
309,8,21,43.8889,0.300747
310,8,22,43.8889,0.300747
311,8,23,44.4444,0.340029
312,8,24,41.5278,0.255274
313,8,25,49.5833,0.373189
314,8,26,47.7778,0.366471
315,8,27,64.3056,0.567434
316,8,28,64.3056,0.567434
317,8,29,53.3333,0.455518
318,8,30,99.0278,0.987919
319,8,31,98.75,0.985336
