id,row,col,norm,final_health,service_ratio,total_demand,total_generated,total_self_served,total_imported,total_exported,total_unmet,final_storage
510,14,6,0.7372,1.0,0.9719,900.362,939.345,872.664,2.434,50.678,25.263,16.002
511,14,7,0.1459,1.0,0.984,231.182,271.287,227.423,0.057,10.428,3.702,33.436
512,14,8,0.1618,0.9857,0.989,149.73,133.068,131.246,16.843,1.822,1.641,0.0
513,14,9,0.9255,1.0,0.9933,89.615,161.441,88.598,0.413,17.213,0.604,55.63
514,14,10,0.3837,1.0,0.9773,2258.333,2867.502,2204.452,2.704,7.517,51.177,655.534
515,14,11,0.3016,1.0,0.9795,865.707,938.036,842.391,5.562,4.54,17.753,91.105
516,14,12,0.9755,1.0,0.967,803.958,936.107,755.922,21.535,152.71,26.501,27.475
517,14,13,0.3145,0.982,0.9106,134.15,159.076,69.945,52.206,89.131,11.999,0.0
518,14,14,0.0863,1.0,0.9877,231.182,271.287,228.232,0.111,10.154,2.839,32.902
519,14,15,0.6403,1.0,0.9461,134.15,159.076,124.947,1.971,2.652,7.232,31.477
520,14,16,0.6211,1.0,0.9673,134.15,159.076,123.903,5.861,5.225,4.386,29.947
521,14,17,0.8464,0.8781,0.9382,134.15,159.076,97.191,28.671,61.884,8.288,0.0
522,14,18,0.183,0.6812,0.7908,134.15,159.076,81.747,24.333,77.329,28.07,0.0
523,14,19,0.0417,0.0,0.2783,790846.571,219738.868,219738.865,384.851,0.003,570722.855,0.0
524,14,20,0.1565,0.7596,0.8188,134.15,159.076,85.678,24.165,73.397,24.307,0.0
525,14,21,0.1231,1.0,0.8521,134.15,159.076,101.282,13.023,57.435,19.845,0.359
526,14,22,0.9707,0.7974,0.7161,29885.829,20970.753,10848.833,10552.646,10121.92,8484.35,0.0
527,14,23,0.0411,0.0,0.3652,566952.858,172859.341,172859.339,34186.786,0.001,359906.733,0.0
528,14,24,0.8425,0.0,0.4139,27285.546,34716.803,11275.906,17.511,23440.897,15992.129,0.0
529,14,25,0.6679,0.0,0.398,2269.125,983.806,782.398,120.749,201.408,1365.978,0.0
530,14,26,0.1177,0.0,0.4017,15500.676,5803.726,5803.146,424.158,0.58,9273.372,0.0
531,14,27,0.5501,0.0,0.5033,149.73,133.068,69.857,5.5,63.211,74.374,0.0
532,14,28,0.649,0.9532,0.9531,900.362,939.345,547.418,310.698,391.926,42.245,0.0
533,14,29,0.5826,0.3892,0.8932,149.73,133.068,123.954,9.793,9.114,15.984,0.0
534,14,30,0.3892,1.0,0.976,1343.456,1921.543,1310.881,0.327,29.256,32.247,581.406
