hour,time,alive_percent,resilience
291,2025-01-13 02:00,85.4938,0.775609
292,2025-01-13 03:00,83.7963,0.775822
293,2025-01-13 04:00,82.4846,0.77599
294,2025-01-13 05:00,81.0957,0.776109
295,2025-01-13 06:00,78.3951,0.776135
296,2025-01-13 07:00,75.3086,0.776057
297,2025-01-13 08:00,85.4938,0.776323
298,2025-01-13 09:00,96.4506,0.776954
299,2025-01-13 10:00,99.2284,0.777675
300,2025-01-13 11:00,100.0,0.778416
301,2025-01-13 12:00,100.0,0.779152
302,2025-01-13 13:00,100.0,0.779883
303,2025-01-13 14:00,99.6142,0.780597
304,2025-01-13 15:00,99.3827,0.781298
305,2025-01-13 16:00,98.8426,0.781977
306,2025-01-13 17:00,97.8395,0.782619
307,2025-01-13 18:00,96.6049,0.783217
308,2025-01-13 19:00,94.7531,0.78375
309,2025-01-13 20:00,94.213,0.784263
310,2025-01-13 21:00,92.4383,0.784715
311,2025-01-13 22:00,91.2037,0.785124
312,2025-01-13 23:00,89.7377,0.785484
313,2025-01-14 00:00,88.2716,0.785795
314,2025-01-14 01:00,87.1142,0.786066
315,2025-01-14 02:00,84.2593,0.786246
316,2025-01-14 03:00,81.4815,0.786336
317,2025-01-14 04:00,78.9352,0.786346
318,2025-01-14 05:00,76.0031,0.786263
319,2025-01-14 06:00,74.6914,0.78614
320,2025-01-14 07:00,73.6111,0.785983
321,2025-01-14 08:00,86.1883,0.78622
322,2025-01-14 09:00,95.3704,0.78674
323,2025-01-14 10:00,99.8457,0.787395
324,2025-01-14 11:00,100.0,0.788052
325,2025-01-14 12:00,100.0,0.788704
326,2025-01-14 13:00,100.0,0.789352
327,2025-01-14 14:00,99.9228,0.789994
328,2025-01-14 15:00,99.4599,0.790617
329,2025-01-14 16:00,98.9198,0.791221
330,2025-01-14 17:00,97.7623,0.791786
331,2025-01-14 18:00,96.2963,0.792303
332,2025-01-14 19:00,95.216,0.792785
333,2025-01-14 20:00,93.2099,0.793203
334,2025-01-14 21:00,91.4352,0.793566
335,2025-01-14 22:00,89.3519,0.793864
336,2025-01-14 23:00,87.2685,0.794099
337,2025-01-15 00:00,84.4907,0.794249
338,2025-01-15 01:00,82.1759,0.794331
339,2025-01-15 02:00,79.5525,0.794334
