id,row,col,building_type,norm,alive_percent,critical_percent,permanently_dead,resilience
287,7,35,residential,1.0,34.0278,0.1389,True,0.325872
288,8,0,residential,1.0,20.2778,1.8056,True,0.145007
289,8,1,residential,1.0,20.4167,1.9444,True,0.150115
290,8,2,residential,1.0,25.0,0.0,True,0.241879
291,8,3,residential,1.0,21.1111,0.1389,True,0.172666
292,8,4,residential,1.0,20.6944,0.6944,True,0.167943
293,8,5,residential,1.0,20.5556,0.0,True,0.192276
294,8,6,residential,1.0,21.1111,0.6944,True,0.169011
295,8,7,residential,1.0,19.7222,0.0,True,0.176173
296,8,8,residential,1.0,22.3611,0.4167,True,0.192835
297,8,9,residential,1.0,41.5278,0.0,True,0.404921
298,8,10,residential,1.0,24.3056,0.4167,True,0.214121
299,8,11,residential,1.0,23.6111,0.6944,True,0.203842
300,8,12,residential,1.0,33.6111,0.0,True,0.320795
301,8,13,residential,1.0,24.3056,2.0833,True,0.208493
302,8,14,residential,1.0,37.0833,0.4167,True,0.353979
303,8,15,residential,1.0,41.6667,0.0,True,0.402721
304,8,16,residential,1.0,35.1389,0.2778,True,0.336312
305,8,17,residential,1.0,24.4444,0.4167,True,0.217426
306,8,18,residential,1.0,29.7222,0.1389,True,0.280901
307,8,19,residential,1.0,22.7778,0.5556,True,0.199245
308,8,20,residential,1.0,28.6111,0.1389,True,0.259714
309,8,21,residential,1.0,38.3333,0.0,True,0.363253
310,8,22,residential,1.0,37.9167,0.1389,True,0.363199
311,8,23,residential,1.0,34.1667,1.25,True,0.314278
312,8,24,residential,1.0,95.0,0.0,False,0.940468
313,8,25,residential,1.0,95.8333,0.0,False,0.954366
314,8,26,residential,1.0,95.4167,0.0,False,0.947278
315,8,27,residential,1.0,93.75,0.0,False,0.926551
316,8,28,residential,1.0,39.4444,0.0,True,0.379015
317,8,29,residential,1.0,28.3333,0.2778,True,0.258127
318,8,30,residential,1.0,28.4722,0.0,True,0.274068
319,8,31,residential,1.0,31.8056,0.0,True,0.306247
320,8,32,residential,1.0,25.5556,0.4167,True,0.226894
321,8,33,residential,1.0,23.6111,1.3889,True,0.200482
322,8,34,residential,1.0,24.3056,1.9444,True,0.195579
323,8,35,residential,1.0,27.6389,0.0,True,0.262506
324,9,0,residential,1.0,20.5556,1.8056,True,0.158797
325,9,1,residential,1.0,20.5556,1.9444,True,0.159137
326,9,2,residential,1.0,27.2222,0.0,True,0.260161
327,9,3,residential,1.0,21.25,0.0,True,0.202411
328,9,4,residential,1.0,20.5556,1.9444,True,0.158108
329,9,5,residential,1.0,21.5278,2.0833,True,0.163114
330,9,6,residential,1.0,24.4444,0.1389,True,0.227453
331,9,7,residential,1.0,22.7778,0.5556,True,0.194072
332,9,8,residential,1.0,41.3889,0.0,True,0.403522
333,9,9,residential,1.0,41.5278,0.0,True,0.408023
334,9,10,residential,1.0,41.8056,0.0,True,0.407408
335,9,11,residential,1.0,33.6111,0.0,True,0.321209
336,9,12,residential,1.0,33.6111,0.0,True,0.32907
337,9,13,residential,1.0,38.3333,0.4167,True,0.364868
338,9,14,residential,1.0,95.8333,0.0,False,0.954313
339,9,15,residential,1.0,44.4444,0.1389,True,0.430684
340,9,16,residential,1.0,41.5278,0.0,True,0.397412
341,9,17,residential,1.0,35.0,0.2778,True,0.334944
342,9,18,residential,1.0,30.1389,0.0,True,0.289418
343,9,19,residential,1.0,29.7222,0.1389,True,0.276604
344,9,20,residential,1.0,25.6944,0.0,True,0.230735
345,9,21,residential,1.0,29.5833,0.0,True,0.280155
346,9,22,residential,1.0,33.0556,1.1111,True,0.302228
347,9,23,residential,1.0,42.7778,0.0,True,0.415338
348,9,24,residential,1.0,95.4167,0.0,False,0.944981
349,9,25,residential,1.0,95.8333,0.0,False,0.955034
350,9,26,residential,1.0,95.5556,0.0,False,0.950959
351,9,27,residential,1.0,93.3333,0.0,False,0.928797
352,9,28,residential,1.0,91.9444,0.0,False,0.915088
353,9,29,residential,1.0,28.8889,0.2778,True,0.263935
354,9,30,residential,1.0,31.8056,0.0,True,0.306247
355,9,31,residential,1.0,32.3611,0.1389,True,0.315179
356,9,32,residential,1.0,31.8056,0.0,True,0.304924
357,9,33,residential,1.0,25.9722,0.0,True,0.249207
358,9,34,residential,1.0,26.3889,0.2778,True,0.23705
359,9,35,residential,1.0,25.8333,0.4167,True,0.226907
360,10,0,residential,1.0,27.6389,0.2778,True,0.245593
361,10,1,residential,1.0,36.9444,0.0,True,0.354428
362,10,2,residential,1.0,34.0278,0.1389,True,0.32309
363,10,3,residential,1.0,27.2222,0.0,True,0.250333
364,10,4,residential,1.0,20.8333,0.5556,True,0.166925
365,10,5,residential,1.0,24.4444,2.0833,True,0.200996
366,10,6,residential,1.0,25.2778,0.0,True,0.248727
367,10,7,residential,1.0,29.7222,0.1389,True,0.274144
368,10,8,residential,1.0,30.1389,0.0,True,0.291806
369,10,9,residential,1.0,41.8056,0.0,True,0.407404
370,10,10,residential,1.0,38.6111,0.0,True,0.379053
371,10,11,residential,1.0,38.6111,0.1389,True,0.369219
372,10,12,residential,1.0,37.2222,0.1389,True,0.355773
373,10,13,residential,1.0,95.8333,0.0,False,0.952772
374,10,14,residential,1.0,95.9722,0.0,False,0.956113
375,10,15,residential,1.0,95.8333,0.0,False,0.954331
376,10,16,residential,1.0,44.4444,0.1389,True,0.428401
377,10,17,residential,1.0,31.8056,0.0,True,0.310299
378,10,18,residential,1.0,31.6667,0.2778,True,0.291769
379,10,19,residential,1.0,26.25,0.2778,True,0.239427
380,10,20,residential,1.0,23.75,0.4167,True,0.210449
381,10,21,residential,1.0,34.3056,0.0,True,0.332043
382,10,22,residential,1.0,44.1667,0.0,True,0.430926
383,10,23,residential,1.0,95.8333,0.0,False,0.955649
384,10,24,residential,1.0,92.2222,0.0,False,0.916708
385,10,25,residential,1.0,95.8333,0.0,False,0.950931
386,10,26,residential,1.0,94.4444,0.0,False,0.940392
387,10,27,residential,1.0,93.8889,0.0,False,0.932531
388,10,28,residential,1.0,38.4722,0.0,True,0.371758
389,10,29,residential,1.0,23.3333,0.0,True,0.222138
390,10,30,residential,1.0,23.6111,0.5556,True,0.203889
391,10,31,residential,1.0,31.8056,0.0,True,0.304879
392,10,32,residential,1.0,25.6944,0.8333,True,0.231444
393,10,33,residential,1.0,27.3611,0.0,True,0.262166
394,10,34,residential,1.0,27.6389,0.0,True,0.268801
395,10,35,residential,1.0,26.5278,0.0,True,0.244652
396,11,0,residential,1.0,36.9444,0.0,True,0.349373
397,11,1,residential,1.0,38.6111,0.1389,True,0.371255
398,11,2,residential,1.0,38.4722,0.0,True,0.371284
399,11,3,residential,1.0,33.8889,0.1389,True,0.321722
